Waterbody Name,Fish Species Present at Waterbody,Comments,Special Regulations on Waterbody,County,Types of Public Access,Public Fishing Access Owner,Waterbody Information,Longitude,Latitude,Location
Johnson Creek,Brown Trout - Chinook Salmon - Coho Salmon - Steelhead*,None,http://www.dec.ny.gov/outdoor/31420.html,Orleans,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrjohnsonck.pdf,-78.358876011,43.335332766,"(43.335332766, -78.358876011)"
Oswego River Lower,Brown Trout - Steelhead* - Chinook Salmon* - Coho Salmon - Smallmouth Bass - Yellow Perch - Crappie - Walleye - Carp - Channel Catfish,Fishing pier available at municipal park.,,Oswego,Shore Fishing - Boat Launch (Trailer Improved),West Side Riverfront Linear Park (Municipal),http://www.dec.ny.gov/outdoor/41044.html,-76.511102113,43.458412046,"(43.458412046, -76.511102113)"
Oswego River Upper,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Walleye - Carp - Channel Catfish,None,,Oswego,Boat Launch (Trailer Improved),Municipal,http://www.dec.ny.gov/outdoor/41044.html,-76.415509131,43.335568609,"(43.335568609, -76.415509131)"
Oneida River,Largemouth Bass - Smallmouth Bass - Crappie - Northern Pike - Carp - Channel Catfish,None,,Onondaga,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23881.html,-76.266299646,43.210378118,"(43.210378118, -76.266299646)"
Salmon River,Brown Trout* - Steelhead* - Chinook Salmon* - Coho Salmon* - Atlantic Salmon* - Smallmouth Bass,None,,Oswego,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/37926.html,-76.036001935,43.531040188,"(43.531040188, -76.036001935)"
North Branch Salmon River,Brook Trout*,None,,Oswego,Shore Fishing - Public Fishing Rights,Public Easement - Battle Hill State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/r7nbrsalrpfr.pdf,-75.826856729,43.569334098,"(43.569334098, -75.826856729)"
Chittenango Creek,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31460.html,Madison,Shore Fishing - Public Fishing Rights,Public Easement - Cittenango Falls State Park,http://www.dec.ny.gov/outdoor/71484.html,-75.836793871,42.974972077,"(42.974972077, -75.836793871)"
Butternut Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31471.html,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7buttnutpfr.pdf,-76.066496504,42.841321446,"(42.841321446, -76.066496504)"
Limestone Creek,Brook Trout* - Brown Trout*,None,,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/71711.html,-75.905326967,42.881034849,"(42.881034849, -75.905326967)"
Carmans River,Brook Trout* - Brown Trout* - Rainbow Trout*,Suffolk county permit required (631-854-4949).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing,Southhaven County Park,,-72.887817171,40.809070751,"(40.809070751, -72.887817171)"
Seneca River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Tiger Musky* - Northern Pike - Walleye - Carp - Channel Catfish,None,,Cayuga,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/66680.html,-76.645294543,43.078640839,"(43.078640839, -76.645294543)"
Ninemile Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31471.html,Onondaga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/71660.html,-76.330451117,43.026443294,"(43.026443294, -76.330451117)"
Grout Brook,Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31439.html,Cortland,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7groutbrpfr.pdf,-76.265080086,42.74187912,"(42.74187912, -76.265080086)"
Owasco Inlet,Brown Trout* Rainbow Trout*,None,,Cayuga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7owascoinpfr.pdf,-76.407167784,42.641946291,"(42.641946291, -76.407167784)"
Naples Creek,Brook Trout - Brown Trout - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31417.html,Ontario,Shore Fishing - Public Fishing Rights,Public Easement - High Tor State Wildlife Management Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnaplesck.pdf,-77.403606702,42.609479403,"(42.609479403, -77.403606702)"
Salmon Creek,Atlantic Salmon - Brown Trout* - Rainbow Trout* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31417.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7salcrekpfr.pdf,-76.538215641,42.550543308,"(42.550543308, -76.538215641)"
Fall Creek,Atlantic Salmon - Brook Trout* - Brown Trout* - Rainbow Trout - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31417.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7fallcrpfr.pdf,-76.28312588,42.598995432,"(42.598995432, -76.28312588)"
Fall Creek (Upper),Brook Trout* - Brown Trout*,None,,Cayuga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7fallcrpfr.pdf,-76.278994455,42.639803711,"(42.639803711, -76.278994455)"
Cayuga Inlet,Brown Trout - Rainbow Trout* - Atlantic Salmon,None,http://www.dec.ny.gov/outdoor/31417.html,Tompkins,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/72779.html,-76.554022279,42.368737364,"(42.368737364, -76.554022279)"
Cold Brook,Brown Trout - Rainbow Trout - Atlantic Salmon,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkeukainlt.pdf,-77.258398236,42.394874784,"(42.394874784, -77.258398236)"
Guyanoga Creek,Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31417.html,Yates,Shore Fishing - Public Fishing Rights - Boat Launch (Trailer Improved),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrgyanogack.pdf,-77.149554309,42.59980095,"(42.59980095, -77.149554309)"
Catharine Creek,Rainbow Trout,None,,Schuyler,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcathrneck.pdf,-76.843841906,42.32827481,"(42.32827481, -76.843841906)"
McCorn Creek,Brown Trout,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcayutack.pdf,-76.606082843,42.267612682,"(42.267612682, -76.606082843)"
Chemung River,Smallmouth Bass - Tiger Musky* -  Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31435.html,Chemung,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/23906.html,-76.865664903,42.082340095,"(42.082340095, -76.865664903)"
Cohocton River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrcohoctriv.pdf,-77.349559895,42.357293382,"(42.357293382, -77.349559895)"
Neil Creek,Brown Trout,None,http://www.dec.ny.gov/outdoor/31494.html,Steuben,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneilcreek.pdf,-77.479958326,42.427631095,"(42.427631095, -77.479958326)"
Susquehanna River,Smallmouth Bass - Sunfish - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31431.html,Broome,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/42299.html,-75.60037003,42.193644482,"(42.193644482, -75.60037003)"
Tioughnioga River,Smallmouth Bass - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31431.html,Broome,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23910.html,-75.846199971,42.238251511,"(42.238251511, -75.846199971)"
Sangerfield River,Brown Trout* - Smallmouth Bass - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/66157.html,-75.540194217,42.718321946,"(42.718321946, -75.540194217)"
Otselic River,Brown Trout* - Walleye,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/r7otselripfr.pdf,-75.815287051,42.619864684,"(42.619864684, -75.815287051)"
Chenango River,Muskellunge - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31436.html,Chenango,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/63442.html,-75.681330413,42.364385279,"(42.364385279, -75.681330413)"
Upper Peconic River,Largemouth Bass - Sunfish - Chain Pickerel,DEC Access permit required (631-444-0280).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing - Boat Launch (Hand Launch),Otis Pike Preserve (DEC),http://www.dec.ny.gov/outdoor/23865.html,-72.743344951,40.905093268,"(40.905093268, -72.743344951)"
Connetquot River,Brook Trout* - Brown Trout* - Rainbow Trout*,Fishing pier available at state park. OPRHP permit required (631-669-1000).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing,Connetquot River State Park,,-73.152134173,40.748092416,"(40.748092416, -73.152134173)"
Nissequogue River,Brook Trout* - Brown Trout* - Rainbow Trout*,Fishing pier available at state park. OPRHP permit required (631-669-1000).,http://www.dec.ny.gov/outdoor/31495.html,Suffolk,Shore Fishing - Boat Launch (Hand Launch),Caleb Smith State Park Preserve (New York State Park),http://www.dec.ny.gov/outdoor/23865.html,-73.227300031,40.846482971,"(40.846482971, -73.227300031)"
Saranac River,Brown Trout* - Rainbow Trout* - Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye,None,http://www.dec.ny.gov/outdoor/31437.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsaranac.pdf,-73.811101127,44.604894425,"(44.604894425, -73.811101127)"
North Branch Saranac River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31437.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnbsaranac.pdf,-73.918238523,44.578672605,"(44.578672605, -73.918238523)"
Salmon River,Brook Trout - Brown Trout*,Camping available at state park.,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement - Macomb Reservation State Park,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrc.pdf,-73.639830499,44.611594588,"(44.611594588, -73.639830499)"
Arnold Brook,Brook Trout - Brown Trout*,None,,Clinton,,,,-73.541982496,44.593677719,"(44.593677719, -73.541982496)"
Ausable River,Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31443.html,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrausable.pdf,-73.567463912,44.467972896,"(44.467972896, -73.567463912)"
West Branch Ausable River,Brook Trout* - Brown Trout* - Rainbow Trout*,Camping available at Wilmington Notch DEC Campground.,http://www.dec.ny.gov/outdoor/31443.html,Essex,Shore Fishing,Whiteface Mountain Ski Center (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrwbausable.pdf,-73.859409331,44.354221132,"(44.354221132, -73.859409331)"
Chubb River,Brook Trout* - Brown Trout*,None,,Essex,Shore Fishing - Public Fishing Rights,Public Easement - High Peaks Wilderness (DEC),http://www.dec.ny.gov/lands/9164.html,-74.013997746,44.262759513,"(44.262759513, -74.013997746)"
Great Chazy River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Muskellunge - Norhtern Pike - Chain Pickerel - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31510.html,Clinton,Boat Launch (Trailer Improved),New York State Parks,http://www.dec.ny.gov/outdoor/23904.html,-73.386724349,44.932212074,"(44.932212074, -73.386724349)"
North Branch Great Chazy River,Brown Trout* - Rainbow Trout* - Smallmouth Bass,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrnbchazy.pdf,-73.774312288,44.905983443,"(44.905983443, -73.774312288)"
Carew Brook,Brown Trout,None,,Clinton,Shore Fishing - Public Fishing Rights,Public Easement,,-73.877224739,44.884344232,"(44.884344232, -73.877224739)"
Mill Brook,Brook Trout - Brown Trout*,None,,Essex,,,,-73.47960261,44.052709263,"(44.052709263, -73.47960261)"
Timmerman Creek,Brown Trout*,None,,Montgomery,,,,-74.683940305,43.017229195,"(43.017229195, -74.683940305)"
Spruce Creek,Brook Trout - Brown Trout*,None,,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrecanadack.pdf,-74.775015894,43.122903578,"(43.122903578, -74.775015894)"
West Canada Creek,Brook Trout* - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/outdoor/9238.html,-75.106766237,43.237541746,"(43.237541746, -75.106766237)"
Oriskany Creek,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.40071171,43.032236263,"(43.032236263, -75.40071171)"
Meco Creek,Brown Trout*,None,,Fulton,,,,-74.362197066,43.050413222,"(43.050413222, -74.362197066)"
Kayaderosseras Creek,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31482.html,Saratoga,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrkayadeross.pdf,-73.877687077,43.138010643,"(43.138010643, -73.877687077)"
Batten Kill,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31502.html,Washington,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbattenkil.pdf,-73.272176385,43.101242681,"(43.101242681, -73.272176385)"
Schroon River,Brook Trout* - Brown Trout* - Rainbow Trout - Atlantic Salmon*,None,http://www.dec.ny.gov/outdoor/31501.html,Warren,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrschroon.pdf,-73.731411667,43.607948869,"(43.607948869, -73.731411667)"
Glen Creek,Brown Trout*,None,,Warren,Shore Fishing,Wilcox Lake Wild Forest (DEC),http://www.dec.ny.gov/lands/22584.html,-73.88414694,43.580185017,"(43.580185017, -73.88414694)"
Mill Creek,Brook Trout* - Brown Trout*,None,,Warren,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrmillckr5.pdf,-73.978398024,43.582728065,"(43.582728065, -73.978398024)"
Perch River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23890.html,-76.077174546,44.00253222,"(44.00253222, -76.077174546)"
Black River,Brook Trout* - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights,Public Easement,,-75.131830064,43.396659736,"(43.396659736, -75.131830064)"
Moose River,Brook Trout*,None,http://www.dec.ny.gov/outdoor/31453.html,Herkimer,Shore Fishing,Black River Wild Forest (DEC),http://www.dec.ny.gov/lands/49959.html,-75.102456443,43.611967601,"(43.611967601, -75.102456443)"
Stoney Creek,Brown Trout* - Steelhead* - Coho Salmon - Chinook Salmon,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstonyck.pdf,-76.200169676,43.837479812,"(43.837479812, -76.200169676)"
Sandy Creek,Brown Trout* - Steelhead - Coho Salmon - Chinook Salmon,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement - Lakeview Wildlife Management Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsandyckr6.pdf,-76.185724398,43.744046271,"(43.744046271, -76.185724398)"
South Sandy Creek,Brown Trout - Steelhead* - Coho Salmon - Chinook Salmon*,None,http://www.dec.ny.gov/outdoor/31420.html,Jefferson,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrssandyck.pdf,-76.146749092,43.726617029,"(43.726617029, -76.146749092)"
West Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,None,http://www.dec.ny.gov/outdoor/31470.html,Oneida,Shore Fishing - Public Fishing Rights - Boat Launch (Hand Launch),Public Easement - DEC Boat Launch,http://www.dec.ny.gov/outdoor/23882.html,-75.812802499,43.389261426,"(43.389261426, -75.812802499)"
East Branch Fish Creek,Brook Trout - Brown Trout* - Atlantic Salmon*,None,http://www.dec.ny.gov/outdoor/31456.html,Lewis,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrebfishcreek.pdf,-75.549433287,43.528358464,"(43.528358464, -75.549433287)"
Chaumont River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Boat Launch (Trailer Improved),New York State Parks,http://www.dec.ny.gov/outdoor/23890.html,-76.148933498,44.068415416,"(44.068415416, -76.148933498)"
St Lawrence River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31423.html,Jefferson,Boat Launch (Trailer Improved),DEC,http://www.dec.ny.gov/outdoor/29956.html,-76.321970536,44.133075265,"(44.133075265, -76.321970536)"
Grass River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Muskellunge - Northern Pike - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Improved),Upper and Lower Lakes Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/23866.html,-75.227056126,44.62116423,"(44.62116423, -75.227056126)"
Fish Creek (St. Lawrence),Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye,None,http://www.dec.ny.gov/outdoor/31493.html,St. Lawrence,Shore Fishing - Boat Launch (Trailer Unimproved),Fish Creek Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/9322.html,-75.583099831,44.481132348,"(44.481132348, -75.583099831)"
Indian River,Smallmouth Bass - Largemouth Bass - Sunfish - Yellow Perch - Crappie - Northern Pike - Walleye - Carp - Channel Catfish,None,http://www.dec.ny.gov/outdoor/31454.html,Jefferson,Shore Fishing - Boat Launch (Trailer Unimproved),Indian River State Wildlife Management Area (DEC),http://www.dec.ny.gov/outdoor/23890.html,-75.760508085,44.265146835,"(44.265146835, -75.760508085)"
Chateaugay River,Brook Trout* - Brown Trout* - Rainbow Trout* - Smallmouth Bass,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrchateaugay.pdf,-74.094510485,44.925535788,"(44.925535788, -74.094510485)"
Trout River,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,,,,-74.293337254,44.918344554,"(44.918344554, -74.293337254)"
Salmon River,Brook Trout - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrsalmonrf.pdf,-74.374592082,44.929322086,"(44.929322086, -74.374592082)"
Little Salmon River,Brook Trout - Brown Trout,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrlitsalmon.pdf,-74.468205183,44.814920064,"(44.814920064, -74.468205183)"
St. Regis River,Brook Trout - Brown Trout* - Rainbow Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights - Boat launch (Hand Launch),Public Easement - Debar Mountain Wild Forest (DEC) - DEC Boat Launch,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrstregis.pdf,-74.47196149,44.659777959,"(44.659777959, -74.47196149)"
Batavia Kill,Brook Trout - Brown Trout* - Rainbow Trout,None,,Greene,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbataviak.pdf,-74.305872393,42.293045276,"(42.293045276, -74.305872393)"
Deer River,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31444.html,Franklin,Shore Fishing - Public Fishing Rights,Public Easement - Deer River State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrdeerriver.pdf,-74.501574916,44.730029173,"(44.730029173, -74.501574916)"
Ten Mile Creek,Brook Trout - Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31441.html,Dutchess,Shore Fishing - Public Fishing Rights,Public Easement - Wassaic State Multiple Use Area (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrtenmilewassaic.pdf,-73.575196222,41.774901231,"(41.774901231, -73.575196222)"
Delaware River (Upper),Brown Trout - Rainbow Trout - Smallmouth Bass - Walleye - Carp,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23900.html,-75.276850723,41.935113637,"(41.935113637, -75.276850723)"
Delaware River (Lower),Smallmouth Bass - Muskellunge - Walleye - Striped Bass,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Boat Launch (Hand Launch),DEC,http://www.dec.ny.gov/outdoor/23864.html,-74.912555402,41.476434942,"(41.476434942, -74.912555402)"
Neversink River,Brook Trout - Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrneversink.pdf,-74.609448532,41.781634451,"(41.781634451, -74.609448532)"
Mongaup River,Brown Trout*,None,http://www.dec.ny.gov/outdoor/31496.html,Sullivan,Shore Fishing,Thompson Park (Municipal),,-74.709546114,41.721313192,"(41.721313192, -74.709546114)"
Hudson River (Upper Hudson),Brown Trout* - Rainbow Trout*,None,,Warren,Shore Fishing - Public Fishing Rights,Public Easement - Vanderwhacker Mountain Wild Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfrhudson.pdf,-74.034919779,43.737163196,"(43.737163196, -74.034919779)"
East Branch Delaware River (Upper),Brook Trout - Brown Trout*,NYCDEP permit required (1-800-574-LAND).,http://www.dec.ny.gov/outdoor/31440.html,Delaware,,,,-74.629618591,42.151605667,"(42.151605667, -74.629618591)"
East Branch Delaware River (Lower),Brook Trout - Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement - Tomannex State Forest (DEC),http://www.dec.ny.gov/docs/fish_marine_pdf/pfreastbranch.pdf,-75.087162917,42.017273442,"(42.017273442, -75.087162917)"
Beaver Kill,Brown Trout* - Rainbow Trout,None,http://www.dec.ny.gov/outdoor/31440.html,Delaware,Shore Fishing - Public Fishing Rights,Public Easement,http://www.dec.ny.gov/docs/fish_marine_pdf/pfrbeaverkill.pdf,-75.023709933,41.96958342,"(41.96958342, -75.023709933)"
